INTJ, Idn, INTJ
ISTJ, Bn>, INTP
ISTJ, Ill, ENTJ
ISTJ, Sp<, ENTP
ISTJ, Ego, INFJ
ISTJ, Act, INFP
ISTJ, Dlt, ENFJ
ISTJ, Cnf, ENFP
ISTJ, Idn, ISTJ
ISTJ, Lkl, ISFJ
ISTJ, Cnt, ESTJ
ISTJ, Sdl, ESFJ
ISTJ, Qid, ISTP
ISTJ, Bn<, ISFP
ISTJ, Mrr, ESTP
ISTJ, Sp>, ESFP

ISFJ, Ego, INTJ
ISFJ, Act, INTP
ISFJ, Dlt, ENTJ
ISFJ, Cnf, ENTP
ISFJ, Cmp, INFJ
ISFJ, Bn>, INFP
ISFJ, Ill, ENFJ
ISFJ, Sp<, ENFP
ISFJ, Lkl, ISTJ
ISFJ, Idn, ISFJ
ISFJ, Sdl, ESTJ
ISFJ, Cnt, ESFJ
ISFJ, Bn<, ISTP
ISFJ, Qid, ISFP
ISFJ, Sp>, ESTP
ISFJ, Mrr, ESFP

ESTJ, Ill, INTJ
ESTJ, Sp<, INTP
ESTJ, Cmp, ENTJ
ESTJ, Bn>, ENTP
ESTJ, Dlt, INFJ
ESTJ, Cnf, INFP
ESTJ, Ego, ENFJ
ESTJ, Act, ENFP
ESTJ, Cnt, ISTJ
ESTJ, Sdl, ISFJ
ESTJ, Idn, ESTJ
ESTJ, Lkl, ESFJ
ESTJ, Mrr, ISTP
ESTJ, Sp>, ISFP
ESTJ, Qid, ESTP
ESTJ, Bn<, ESFP

ESFJ, Dlt, INTJ
ESFJ, Cnf, INTP
ESFJ, Ego, ENTJ
ESFJ, Act, ENTP
ESFJ, Ill, INFJ
ESFJ, Sp<, INFP
ESFJ, Cmp, ENFJ
ESFJ, Bn>, ENFP
ESFJ, Sdl, ISTJ
ESFJ, Cnt, ISFJ
ESFJ, Lkl, ESTJ
ESFJ, Idn, ESFJ
ESFJ, Sp>, ISTP
ESFJ, Mrr, ISFP
ESFJ, Bn<, ESTP
ESFJ, Qid, ESFP

ISTP, Bn<, INTJ
ISTP, Lkl, INTP
ISTP, Sp>, ENTJ
ISTP, Sdl, ENTP
ISTP, Act, INFJ
ISTP, Ego, INFP
ISTP, Cnf, ENFJ
ISTP, Dlt, ENFP
ISTP, Qid, ISTJ
ISTP, Bn>, ISFJ
ISTP, Mrr, ESTJ
ISTP, Sp<, ESFJ
ISTP, Idn, ISTP
ISTP, Cmp, ISFP
ISTP, Cnt, ESTP
ISTP, Ill, ESFP

ISFP, Act, INTJ
ISFP, Ego, INTP
ISFP, Cnf, ENTJ
ISFP, Dlt, ENTP
ISFP, Bn<, INFJ
ISFP, Lkl, INFP
ISFP, Sp>, ENFJ
ISFP, Sdl, ENFP
ISFP, Bn>, ISTJ
ISFP, Qid, ISFJ
ISFP, Sp<, ESTJ
ISFP, Mrr, ESFJ
ISFP, Cmp, ISTP
ISFP, Idn, ISFP
ISFP, Ill, ESTP
ISFP, Cnt, ESFP

ESTP, Sp>, INTJ
ESTP, Sdl, INTP
ESTP, Bn<, ENTJ
ESTP, Lkl, ENTP
ESTP, Cnf, INFJ
ESTP, Dlt, INFP
ESTP, Act, ENFJ
ESTP, Ego, ENFP
ESTP, Mrr, ISTJ
ESTP, Sp<, ISFJ
ESTP, Qid, ESTJ
ESTP, Bn>, ESFJ
ESTP, Cnt, ISTP
ESTP, Ill, ISFP
ESTP, Idn, ESTP
ESTP, Cmp, ESFP

ESFP, Cnf, INTJ
ESFP, Dlt, INTP
ESFP, Act, ENTJ
ESFP, Ego, ENTP
ESFP, Sp>, INFJ
ESFP, Sdl, INFP
ESFP, Bn<, ENFJ
ESFP, Lkl, ENFP
ESFP, Sp<, ISTJ
ESFP, Mrr, ISFJ
ESFP, Bn>, ESTJ
ESFP, Qid, ESFJ
ESFP, Ill, ISTP
ESFP, Cnt, ISFP
ESFP, Cmp, ESTP
ESFP, Idn, ESFP

